what,kind,bundleId,bundleVersion,description,time
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310802
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310812
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310813
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310886
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310887
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310887
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310888
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310889
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310889
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310891
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310892
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310893
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310895
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310895
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310896
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310905
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310906
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310907
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310908
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310908
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310909
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310910
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310911
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310911
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310913
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310914
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310914
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310951
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310951
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310952
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310954
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310954
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310955
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310997
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310998
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642310999
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311000
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311001
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311001
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311050
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311050
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311051
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311052
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311053
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311054
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311064
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311065
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311066
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311067
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311067
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311068
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311070
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311070
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311071
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311072
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311073
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311074
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311076
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311076
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311077
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311082
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311083
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311083
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311084
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311085
error,log,,,"safety_checklist.xml: Failed to find style 'textViewStyle' in current theme",1348642311085
error,log,,,"safety_checklist.xml: Failed to find style 'listViewStyle' in current theme",1348642311092
error,log,,,"safety_checklist.xml: Failed to find style 'listViewStyle' in current theme",1348642311093
error,log,,,"safety_checklist.xml: Failed to find style 'listViewStyle' in current theme",1348642311134
